# fmn API schema — the EXTRACTED layer (fm-vn6, plan §16.2)
# generated from 3b1b/manim @ 6199a00d4c1b1127ebe45cb629c3f22538b10e13
# by scripts/gen_api_schema.py — regenerate, never hand-edit
#
# The authored layer (canonical names for C-9 typos, semantic status,
# Rust bindings) lives in API_OVERLAY.tsv. The effective schema is the
# two merged; fmn_conformance::schema is the reader, and every
# generator consumes the merged form.
#
# Section-tagged, tab-separated, std-parseable — no TOML/YAML/JSON
# dependency anywhere in the reader (the SUITE.lock doctrine).

[meta]
schema_version	1
reference_commit	6199a00d4c1b1127ebe45cb629c3f22538b10e13
generator	scripts/gen_api_schema.py
wildcard_exports	663

[symbols]
# module	name	kind	origin	exported	detail
manimlib.camera.camera	Camera.get_aspect_ratio	method	defined	0	-
manimlib.camera.camera	Camera.get_fbo	method	defined	0	-
manimlib.camera.camera	Camera.get_frame_center	method	defined	0	-
manimlib.camera.camera	Camera.get_frame_height	method	defined	0	-
manimlib.camera.camera	Camera.get_frame_shape	method	defined	0	-
manimlib.camera.camera	Camera.get_frame_width	method	defined	0	-
manimlib.camera.camera	Camera.get_image	method	defined	0	-
manimlib.camera.camera	Camera.get_location	method	defined	0	-
manimlib.camera.camera	Camera.get_pixel_array	method	defined	0	-
manimlib.camera.camera	Camera.get_pixel_height	method	defined	0	-
manimlib.camera.camera	Camera.get_pixel_shape	method	defined	0	-
manimlib.camera.camera	Camera.get_pixel_size	method	defined	0	-
manimlib.camera.camera	Camera.get_pixel_width	method	defined	0	-
manimlib.camera.camera	Camera.get_raw_fbo_data	method	defined	0	-
manimlib.camera.camera	Camera.get_texture	method	defined	0	-
manimlib.camera.camera	Camera.init_context	method	defined	0	-
manimlib.camera.camera	Camera.init_fbo	method	defined	0	-
manimlib.camera.camera	Camera.init_frame	method	defined	0	-
manimlib.camera.camera	Camera.init_light_source	method	defined	0	-
manimlib.camera.camera	Camera.refresh_uniforms	method	defined	0	-
manimlib.camera.camera	Camera.resize_frame_shape	method	defined	0	-
manimlib.camera.camera	Camera.use_window_fbo	method	defined	0	-
manimlib.camera.camera	Image	leaked_import	PIL	1	-
manimlib.camera.camera	ThreeDCamera	class	defined	1	Camera
manimlib.camera.camera	ThreeDCamera.__init__	method	defined	0	-
manimlib.camera.camera	gl	leaked_import	OpenGL.GL	1	-
manimlib.camera.camera	moderngl	leaked_import	moderngl	1	-
manimlib.camera.camera_frame	CameraFrame	class	defined	1	Mobject
manimlib.camera.camera_frame	CameraFrame.__init__	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.add_ambient_rotation	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.from_fixed_frame_point	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_aspect_ratio	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_center	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_euler_angles	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_field_of_view	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_focal_distance	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_gamma	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_height	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_implied_camera_location	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_inv_view_matrix	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_inverse_camera_rotation_matrix	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_orientation	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_phi	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_scale	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_shape	method	defined	0	-
manimlib.camera.camera_frame	CameraFrame.get_theta	method	defined	0	-
